Week Ending,Federal Provider Number,Provider Name,Provider Address,Provider City,Provider State,Provider Zip Code,Provider Phone Number,County,Submitted Data,Passed Quality Assurance Check,Residents Weekly Confirmed COVID-19,Residents Total Confirmed COVID-19,Residents Weekly All Deaths,Residents Total All Deaths,Residents Weekly COVID-19 Deaths,Residents Total COVID-19 Deaths,Number of All Beds,Total Number of Occupied Beds,Residents Hospitalizations with Confirmed COVID-19,Residents Hospitalizations with Confirmed COVID-19 and Up to Date with Vaccines,Staff Weekly Confirmed COVID-19,Staff Total Confirmed COVID-19,"Weekly Resident Confirmed COVID-19 Cases Per 1,000 Residents","Weekly Resident COVID-19 Deaths Per 1,000 Residents","Total Resident Confirmed COVID-19 Cases Per 1,000 Residents","Total Resident COVID-19 Deaths Per 1,000 Residents","Number of Residents who are Up to Date on COVID-19 Vaccinations, 14 Days or More Before Positive Test",Number of Residents Staying in this Facility for At Least 1 Day This Week,Number of All Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week,Number of Residents Staying in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Residents Up to Date with COVID-19 Vaccines,Percentage of Current Residents Up to Date with COVID-19 Vaccines,Number of Healthcare Personnel Eligible to Work in this Facility for At Least 1 Day This Week Up to Date with COVID-19 Vaccines,Recent Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines,Percentage of Current Healthcare Personnel Up to Date with COVID-19 Vaccines
05/24/20,15009,"BURNS NURSING HOME, INC.",701 MONROE STREET NW,RUSSELLVILLE,AL,35653,2563324110,Franklin,Y,Y,45.0,45.0,4.0,4.0,4.0,4.0,57.0,45.0,0.0,0.0,33.0,33.0,1000.0,88.89,1000.0,88.89,,,,,,,,,
05/24/20,15010,COOSA VALLEY HEALTHCARE CENTER,260 WEST WALNUT STREET,SYLACAUGA,AL,35150,2562495604,Talladega,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,85.0,75.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15012,HIGHLANDS HEALTH AND REHAB,380 WOODS COVE ROAD,SCOTTSBORO,AL,35768,2562183708,Jackson,Y,Y,1.0,1.0,5.0,5.0,0.0,0.0,50.0,42.0,0.0,0.0,1.0,1.0,23.81,0.0,23.81,0.0,,,,,,,,,
05/24/20,15014,EASTVIEW REHABILITATION & HEALTHCARE CENTER,7755 FOURTH AVENUE SOUTH,BIRMINGHAM,AL,35206,2058330146,Jefferson,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,90.0,82.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15015,PLANTATION MANOR NURSING HOME,6450 OLD TUSCALOOSA HIGHWAY,MC CALLA,AL,35111,2054776161,Jefferson,Y,Y,0.0,0.0,1.0,1.0,0.0,0.0,103.0,81.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15016,ATHENS HEALTH AND REHABILITATION LLC,611 WEST MARKET STREET,ATHENS,AL,35611,2562321620,Limestone,Y,Y,0.0,0.0,21.0,21.0,0.0,0.0,125.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15019,MERRY WOOD LODGE,280 MT HEBRON ROAD,ELMORE,AL,36025,3345678484,Elmore,Y,Y,2.0,2.0,4.0,4.0,0.0,0.0,124.0,86.0,0.0,0.0,1.0,1.0,23.26,0.0,23.26,0.0,,,,,,,,,
05/24/20,15023,HATLEY HEALTH CARE INC,300 MEDICAL CENTER DRIVE,CLANTON,AL,35045,2057554960,Chilton,Y,Y,0.0,0.0,1.0,1.0,0.0,0.0,201.0,125.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15024,"LIMESTONE NURSING AND REHABILITATION CENTER, LLC",1600 WEST HOBBS STREET,ATHENS,AL,35611,2562323461,Limestone,Y,Y,0.0,0.0,34.0,34.0,0.0,0.0,170.0,139.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15027,"WETUMPKA HEALTH AND REHABILITATION, LLC",1825 HOLTVILLE ROAD,WETUMPKA,AL,36092,3345675131,Elmore,Y,Y,0.0,0.0,20.0,20.0,0.0,0.0,121.0,110.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15028,KELLER LANDING,813 KELLER LANE,TUSCUMBIA,AL,35674,2563831535,Colbert,Y,Y,1.0,1.0,1.0,1.0,0.0,0.0,109.0,73.0,0.0,0.0,0.0,0.0,13.7,0.0,13.7,0.0,,,,,,,,,
05/24/20,15031,MITCHELL-HOLLINGSWORTH NURSING & REHABILITATION,805 FLAGG CIRCLE,FLORENCE,AL,35631,2567405400,Lauderdale,Y,Y,0.0,0.0,4.0,4.0,0.0,0.0,222.0,181.0,0.0,0.0,5.0,5.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15032,DIVERSICARE OF FOLEY,1701 NORTH ALSTON STREET,FOLEY,AL,36535,2519432781,Baldwin,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,154.0,118.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15034,"HUNTER CREEK HEALTH AND REHABILITATION, LLC",3200 HUNTER CREEK RD,NORTHPORT,AL,35473,2053395900,Tuscaloosa,Y,Y,0.0,0.0,2.0,2.0,0.0,0.0,39.0,71.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15035,WEST GATE VILLAGE,100 PINEVIEW AND THIRD,BREWTON,AL,36427,2518676077,Escambia,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,129.0,113.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15037,"CRIMSON HEALTH AND REHAB, LLC",3312 WOODLEY ROAD,MONTGOMERY,AL,36116,3342882780,Montgomery,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,105.0,45.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15040,DIVERSICARE OF MONTGOMERY,2020 NORTH COUNTRY CLUB DRIVE,MONTGOMERY,AL,36106,3342631643,Montgomery,Y,Y,0.0,0.0,0.0,0.0,0.0,0.0,138.0,100.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,
05/24/20,15042,"SUMTER HEALTH AND REHABILITATION, L L C",1505 EAST 4TH AVENUE,YORK,AL,36925,2053925281,Sumter,Y,Y,27.0,27.0,6.0,6.0,1.0,1.0,125.0,73.0,0.0,0.0,20.0,20.0,369.86,13.7,369.86,13.7,,,,,,,,,
